0	input_tensor	output	151.061     151.061
160	resnet_model/conv2d_18/Conv2D	output	0	9.75744
161	resnet_model/Relu_16	output	0	7.3283477
162	resnet_model/conv2d_50/Conv2D	output	0	22.865387
163	resnet_model/batch_normalization_21/FusedBatchNorm	output	0	7.8585477
164	resnet_model/conv2d_37/Conv2D	output	0	24.60749
165	resnet_model/batch_normalization_52/FusedBatchNorm	output	0	40.19684
166	resnet_model/Relu_1	output	0	10.752634
167	resnet_model/add_14	output	0	34.765312
168	resnet_model/Relu_42	output	0	29.063019
169	resnet_model/batch_normalization_24/FusedBatchNorm	output	0	10.219861
170	resnet_model/Relu_43	output	0	6.212992
171	resnet_model/conv2d_43/Conv2D	output	0	3.614015
172	resnet_model/Relu_12	output	0	18.680698
173	resnet_model/batch_normalization_43/FusedBatchNorm	output	0	18.81716
174	resnet_model/conv2d_41/Conv2D	output	0	9.13895
175	resnet_model/batch_normalization_26/FusedBatchNorm	output	0	9.2278595
176	resnet_model/conv2d_21/Conv2D	output	0	9.476536
177	resnet_model/Relu_20	output	0	8.16035
178	resnet_model/conv2d_34/Conv2D	output	0	13.284646
179	resnet_model/conv2d_2/Conv2D	output	0	22.783255
180	softmax_tensor	output	0	0.67978126
181	resnet_model/Mean	output	0	11.080691
182	resnet_model/Relu_18	output	0	21.54778
183	resnet_model/Relu_34	output	0	27.604433
184	resnet_model/Relu_3	output	0	11.13686
